RelativeWeek,Intensity
1,6.43247876019993
2,5.5421883372113
3,5.24161516919394
4,4.88241411672667
5,4.39878059834014
6,4.14226787326079
7,6.066211313021
8,5.82319050580709
9,7.46228468891808
10,8.30939621096758
11,8.90219479628756
12,10.8316372459143
13,11.9589774475082
14,7.24963344107109
15,8.99385601950516
16,9.2527411180467
17,9.66608344747356
18,8.0076043034942
19,7.56947175457978
20,7.04545831110315
21,6.82333438022283
22,4.32720970588565
23,4.80397107983863
24,4.90262742794271
25,4.80117540297136
26,4.01761249466032
27,4.06613729313043
28,4.18373648996708
29,3.61717224803802
30,3.94644998598034
31,2.63174548890852
32,3.40069552039308
33,3.31340344469989
