RelativeWeek,Intensity
1,6.916046564401
2,14.6930220118316
3,15.6701498550719
4,15.2702355296069
5,6.23975710160989
6,5.48570314853489
7,6.09309079953085
8,8.38074066765132
9,28.1954507180536
10,98.3021748779467
11,54.301456312005
12,116.44489627909
13,10.7283771945073
14,64.9694054703736
15,62.4583583189962
16,122.036660628637
17,73.1312280444567
18,64.1811546042369
19,61.8063136019296
20,29.1687241960543
21,30.9559539840965
22,5.48277747440337
23,30.459461960402
24,12.7556244803103
25,4.9441965725538
26,4.33371924617723
27,21.0361678254506
28,5.90894443460136
29,7.57072280603979
30,4.75283255117917
31,4.15344688277526
32,6.0646008127208
33,23.4642654550191
