RelativeWeek,Intensity
1,17.7289286597553
2,14.0800067814561
3,20.321308501438
4,17.9076698464239
5,27.3048419425686
6,21.9671150679004
7,25.4421800395196
8,27.5652670045395
9,32.4971170084034
10,37.2423670179864
11,41.0273918721222
12,68.7506117814652
13,77.8955303728103
14,115.857272616111
15,154.794664609805
16,149.696641778808
17,167.816206149974
18,174.299013109986
19,190.715743052108
20,191.272628012847
21,192.157010843878
22,138.256237734353
23,113.956607302131
24,95.4614162220834
25,81.0429061773298
26,52.7741953862098
27,35.4693694415691
28,29.5834403561246
29,17.4430272680403
30,13.5413336911896
31,5.69800358820659
32,7.6788639059936
33,7.54039160936891
