RelativeWeek,Intensity
1,67.2518234989269
2,78.3045805031736
3,79.5220119521412
4,83.1086135941483
5,75.6286453658063
6,75.850925847807
7,85.2066681798414
8,100.347545429184
9,104.281007363531
10,111.778659628873
11,119.601224467103
12,111.018350793366
13,126.978824975303
14,101.942712787671
15,125.736425751144
16,137.224479669229
17,135.269580727458
18,113.104898920022
19,130.021098499838
20,113.339895559547
21,126.185585900491
22,94.5757515238111
23,126.258737362736
24,112.704137724923
25,76.7627860277848
26,81.7561938777508
27,81.3851895824457
28,68.0994162776645
29,39.2553735765048
30,52.9770752107133
31,36.9075008381879
32,22.9655548310792
33,47.3829110689959
