RelativeWeek,Intensity
1,5.65379156743537
2,4.26059478523922
3,3.45903999990097
4,4.81496633253061
5,5.80403967819932
6,4.71709071996207
7,6.42915229951277
8,5.24040054411374
9,6.59766462391742
10,6.03415626323825
11,6.6641956310165
12,11.3977702929002
13,12.3261309408106
14,17.6814089574123
15,18.8215063857739
16,25.1730697154192
17,21.3504499736978
18,22.5256712930425
19,22.2922923920269
20,20.2949809945625
21,19.3337984459413
22,16.1495389340652
23,13.5106936308513
24,12.3073670992346
25,6.83394172094199
26,6.23418938923192
27,6.82877035708688
28,4.79968088647838
29,3.84606408459563
30,2.68232714224766
31,2.89421959518622
32,2.62267640112149
33,1.98728907001614
