RelativeWeek,Intensity
1,15.4070663083148
2,17.0805765067333
3,16.2183810767365
4,15.7068301526886
5,16.1943182696714
6,16.0738103883794
7,15.4920686678763
8,17.558245247011
9,18.744369986936
10,21.4419442902733
11,24.0548154800242
12,22.0840237938863
13,18.089273567239
14,21.2049790328228
15,21.8603168107276
16,32.6542362493744
17,58.0958947312763
18,88.0691680786235
19,144.589330284386
20,179.75084043547
21,192.561420106024
22,184.245142792913
23,152.2775134532
24,114.380296244252
25,75.7074883458056
26,53.270771824824
27,37.0085115998636
28,26.5886933816157
29,19.0146555867723
30,15.3860987113395
31,12.1066271727921
32,11.7353860582592
33,9.83414021942047
