ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
MD,ILI,W40,1,0,0,0
MD,ILI,W41,2,0,0,0
MD,ILI,W42,3,0,0,0
MD,ILI,W43,4,0,0,0
MD,ILI,W44,5,0,0,0
MD,ILI,W45,6,0,0,0
MD,ILI,W46,7,0,0,0
MD,ILI,W47,8,-0.0183136197785411,0.0966343885070127,0.225041934252824
MD,ILI,W48,9,-0.0595732104662516,0.17633512030073,0.471421625429221
MD,ILI,W49,10,0,0,0
MD,ILI,W50,11,-0.0185408680832364,0.0979746530272341,0.228322504204399
MD,ILI,W51,12,-0.0444272944909249,0.300041510261579,0.768685855779874
MD,ILI,W52,13,-0.0768754810403541,0.473844949367475,1.35311584749595
MD,ILI,W01,14,0.263936826204595,1.53662662135224,4.09081979633003
MD,ILI,W02,15,1.35431502873113,4.10226458638843,12.4258938132758
MD,ILI,W03,16,1.92605589622932,6.38253239528033,21.1503310244288
MD,ILI,W04,17,4.13408297226728,12.5471571415855,38.0812754344163
MD,ILI,W05,18,3.75478627913866,12.2667844328743,40.0752503967088
MD,ILI,W06,19,3.95008022806761,12.7331668805101,41.0456318468841
MD,ILI,W07,20,3.8904811526168,11.0351431296277,31.3005973077296
MD,ILI,W08,21,1.57491730139857,5.96659163814214,22.6044984995299
MD,ILI,W09,22,1.47535962280214,5.05428764851682,17.3149808623817
MD,ILI,W10,23,1.2933837751715,3.5105034085803,9.52821151635353
MD,ILI,W11,24,0.842570786753257,2.30044634169341,6.28084127080037
MD,ILI,W12,25,1.32939960433827,2.63324561969316,5.21587525000406
MD,ILI,W13,26,0.553050807285855,1.46231355718372,3.86648190609737
MD,ILI,W14,27,0.443220292131543,1.17027203192848,3.08996824610085
MD,ILI,W15,28,0.094808284616138,0.861331726981396,2.16453195189539
MD,ILI,W16,29,0.00700128816616763,0.452304669073439,1.09452448234055
MD,ILI,W17,30,-0.0977188480859812,0.658061961900206,2.04691000545508
MD,ILI,W18,31,-0.0818645444176762,0.881415741910442,2.85534092206837
MD,ILI,W19,32,0.00135574597417842,0.926751567597114,2.7073453846578
MD,ILI,W20,33,0.00571531648866608,0.973378460678021,2.87209231600864
