country_short,season,vaccine_coverage
NL,2015/2016,0.629
NL,2016/2017,0.604
NL,2017/2018,0.603
NL,2018/2019,0.613
NL,2019/2020,0.679
NL,2020/2021,0.726
NL,2021/2022,0.684
NO,2012/2013,0.309
NO,2013/2014,0.26899999999999996
NO,2014/2015,0.27
NO,2015/2016,0.38
NO,2016/2017,0.344
NO,2017/2018,0.382
NO,2018/2019,0.43
NO,2019/2020,0.57
NO,2020/2021,0.655
NO,2021/2022,0.633
PL,2013/2014,0.09699999999999999
PL,2018/2019,0.10400000000000001
PL,2020/2021,0.1
PL,2021/2022,0.086
PT,2012/2013,0.449
PT,2013/2014,0.499
PT,2014/2015,0.509
PT,2015/2016,0.501
PT,2016/2017,0.575
PT,2017/2018,0.608
PT,2018/2019,0.56
PT,2019/2020,0.607
PT,2021/2022,0.758
RO,2012/2013,0.146
RO,2013/2014,0.086
RO,2014/2015,0.07200000000000001
RO,2015/2016,0.098
RO,2016/2017,0.076
RO,2017/2018,0.159
RO,2018/2019,0.205
RO,2019/2020,0.226
RO,2020/2021,0.348
RO,2021/2022,0.221
SE,2012/2013,0.44299999999999995
SE,2013/2014,0.45799999999999996
SE,2014/2015,0.49700000000000005
SE,2015/2016,0.491
SE,2016/2017,0.494
SE,2017/2018,0.498
SE,2018/2019,0.522
SE,2019/2020,0.528
SE,2020/2021,0.604
SE,2021/2022,0.7
SI,2012/2013,0.128
SI,2013/2014,0.1085
SI,2014/2015,0.1041
SI,2015/2016,0.0978
SI,2016/2017,0.11800000000000001
SI,2017/2018,0.129
SI,2018/2019,0.188
SI,2019/2020,0.27
SI,2020/2021,0.245
SI,2021/2022,0.191
SK,2012/2013,0.156
SK,2013/2014,0.141
SK,2014/2015,0.138
SK,2015/2016,0.133
SK,2016/2017,0.13
SK,2017/2018,0.125
SK,2018/2019,0.115
SK,2019/2020,0.128
SK,2020/2021,0.129
SK,2021/2022,0.055999999999999994
